Geneid	AML_PB.bam	CD34_PB.bam
ENSG00000225643	3	7
ENSG00000215695	0	0
ENSG00000284666	0	0
ENSG00000243659	16	11
ENSG00000240553	3	4
ENSG00000228943	0	0
ENSG00000215906	0	0
ENSG00000230703	0	0
ENSG00000188822	505	31
ENSG00000232848	63	120
ENSG00000234397	5	261
ENSG00000090273	4307	4047
ENSG00000284309	0	0
ENSG00000227868	0	1
ENSG00000269925	125	19
ENSG00000142751	1878	416
ENSG00000189266	15707	10620
ENSG00000162511	53846	13183
ENSG00000158014	2	6
ENSG00000204138	3624	5474
ENSG00000233419	0	3
ENSG00000235263	0	0
ENSG00000228176	0	0
ENSG00000229106	19	15
ENSG00000236155	3	5
ENSG00000231251	0	0
ENSG00000142675	89	277
ENSG00000197245	6	33
ENSG00000231949	0	0
ENSG00000261025	7	0
ENSG00000116237	1977	399
ENSG00000158195	19483	2085
ENSG00000130772	275	29
ENSG00000215899	116	162
ENSG00000237429	18	4
ENSG00000271398	52	21
ENSG00000225011	0	0
ENSG00000215905	1	1
ENSG00000240731	162	3
ENSG00000235069	0	1
ENSG00000172746	22	70
ENSG00000284676	0	0
ENSG00000237058	0	0
ENSG00000204160	2503	497
ENSG00000233399	0	0
ENSG00000090020	1314	313
ENSG00000225990	1	15
ENSG00000157978	662	495
ENSG00000226944	0	0
ENSG00000158246	34	1
ENSG00000270282	0	4
ENSG00000130770	4719	2968
ENSG00000117305	843	877
ENSG00000235131	2	0
ENSG00000229044	3	2
ENSG00000162512	4	2
ENSG00000179840	144	59
ENSG00000272449	163	77
ENSG00000214973	50	263
ENSG00000198746	867	453
ENSG00000158006	516	161
ENSG00000188529	26109	8055
ENSG00000214812	5	17
ENSG00000142784	6546	384
ENSG00000230023	1	0
ENSG00000227950	0	1
ENSG00000117682	1007	822
ENSG00000175793	45	0
ENSG00000126698	6498	3267
ENSG00000229447	70	30
ENSG00000229607	0	0
ENSG00000229994	102	1169
ENSG00000130766	2931	1559
ENSG00000168528	175	32
ENSG00000196581	1	0
ENSG00000169403	131	257
ENSG00000117676	7862	2560
ENSG00000198830	37412	12447
ENSG00000225126	0	0
ENSG00000084628	2	1
ENSG00000060688	1377	1841
ENSG00000236335	0	0
ENSG00000171612	1002	977
ENSG00000241169	4	1
ENSG00000278572	4	93
ENSG00000227001	1	27
ENSG00000270927	0	0
ENSG00000226698	0	0
ENSG00000284744	0	3
ENSG00000162458	10	4
ENSG00000188910	1	3
ENSG00000230523	0	0
ENSG00000186056	235	148
ENSG00000116138	929	295
ENSG00000231207	1	0
ENSG00000142765	2949	3601
ENSG00000158161	1331	487
ENSG00000270330	0	0
ENSG00000142684	0	0
ENSG00000060642	1058	422
ENSG00000224064	2	0
ENSG00000234619	5	308
ENSG00000121769	51	7
ENSG00000236963	0	0
ENSG00000232557	0	1
ENSG00000157330	0	0
ENSG00000162413	2492	1211
ENSG00000142627	6	4
ENSG00000284668	0	0
ENSG00000233234	0	0
ENSG00000142632	857	288
ENSG00000234593	1	2
ENSG00000162490	110	12
ENSG00000158292	371	3
ENSG00000270605	227	550
ENSG00000238199	35	10
ENSG00000142733	133	346
ENSG00000189337	249	61
ENSG00000270601	1	0
ENSG00000233268	1	1
ENSG00000232912	36	23
ENSG00000235084	563	667
ENSG00000235143	1	1
ENSG00000225478	0	0
ENSG00000225077	26	1
ENSG00000028137	3225	1454
ENSG00000223944	0	0
ENSG00000238249	70	509
ENSG00000187952	161	239
ENSG00000237938	111	98
ENSG00000227409	2	1
ENSG00000204464	0	0
ENSG00000233372	0	0
ENSG00000162460	0	0
ENSG00000283259	0	0
ENSG00000142687	4280	1476
ENSG00000284543	830	8
ENSG00000223382	0	0
ENSG00000226166	0	0
ENSG00000130939	5916	785
ENSG00000236216	6	32
ENSG00000175147	54	15
ENSG00000236266	10	8
ENSG00000127472	1	0
ENSG00000231103	0	0
ENSG00000060656	169	18
ENSG00000163867	3258	870
ENSG00000232768	1	3
ENSG00000225294	3	13
ENSG00000230214	0	0
ENSG00000189280	4	5
ENSG00000134698	15204	1180
ENSG00000226487	0	0
ENSG00000134690	915	132
ENSG00000272420	41	16
ENSG00000224333	24	1
ENSG00000226664	0	0
ENSG00000132881	232	74
ENSG00000273274	5	5
ENSG00000224321	73	384
ENSG00000233621	32	121
ENSG00000228940	0	0
ENSG00000116251	25366	2847
ENSG00000272510	0	0
ENSG00000158286	8	30
ENSG00000236648	0	0
ENSG00000232273	31	1366
ENSG00000237276	96	10
ENSG00000227959	0	0
ENSG00000009709	0	0
ENSG00000043514	939	531
ENSG00000186543	0	14
ENSG00000287396	0	0
ENSG00000231789	7	23
ENSG00000162510	44	75
ENSG00000179002	20	0
ENSG00000223589	0	0
ENSG00000188984	0	1
ENSG00000229259	0	0
ENSG00000270171	2	0
ENSG00000158008	6	9
ENSG00000269732	0	0
ENSG00000130940	795	128
ENSG00000116771	114	16
ENSG00000237301	8	5
ENSG00000162585	1776	1889
ENSG00000163879	27	9
ENSG00000227527	8	8
ENSG00000127129	4	0
ENSG00000228823	0	2
ENSG00000010803	3859	1037
ENSG00000229901	0	0
ENSG00000169991	9507	190
ENSG00000116954	957	57
ENSG00000117013	49	15
ENSG00000228589	376	1452
ENSG00000163873	4	0
ENSG00000233431	0	5
ENSG00000117215	1	0
ENSG00000223583	13	95
ENSG00000196449	1940	2731
ENSG00000250575	1481	102
ENSG00000237700	1	0
ENSG00000253368	0	2
ENSG00000179862	2898	321
ENSG00000116661	15	1
ENSG00000230163	0	0
ENSG00000287400	7	87
ENSG00000227538	0	0
ENSG00000232208	3	30
ENSG00000162461	118	28
ENSG00000236500	0	0
ENSG00000044012	0	0
ENSG00000179051	13434	1297
ENSG00000215895	151	12834
ENSG00000231868	4	0
ENSG00000284650	0	0
ENSG00000237329	1	1
ENSG00000236948	0	0
ENSG00000270850	0	0
ENSG00000053372	1407	760
ENSG00000287510	21	0
ENSG00000126067	4814	2179
ENSG00000274944	0	0
ENSG00000066136	2451	959
ENSG00000132906	1116	355
ENSG00000286668	0	1
ENSG00000197312	2594	280
ENSG00000284748	0	4
ENSG00000272078	106	10
ENSG00000173660	9207	1700
ENSG00000224592	0	0
ENSG00000233728	0	0
ENSG00000230451	0	0
ENSG00000215893	5	2
ENSG00000231606	0	0
ENSG00000215900	0	2
ENSG00000092847	5452	1071
ENSG00000284632	0	0
ENSG00000204510	0	0
ENSG00000241014	32	0
ENSG00000054118	10044	4221
ENSG00000254553	0	0
ENSG00000230415	155	14
ENSG00000177181	195	36
ENSG00000284653	0	0
ENSG00000237749	324	1433
ENSG00000224863	7	1
ENSG00000276747	3	0
ENSG00000284705	0	0
ENSG00000287828	0	26
ENSG00000228776	1	0
ENSG00000236009	0	2
ENSG00000228526	217	14
ENSG00000159339	154	714
ENSG00000284678	31	4
ENSG00000162373	1072	427
ENSG00000223814	0	0
ENSG00000197982	787	703
ENSG00000225158	0	0
ENSG00000261781	1	0
ENSG00000183317	322	1
ENSG00000250894	0	2
ENSG00000232022	111	4
ENSG00000183386	1093	944
ENSG00000284743	0	0
ENSG00000229528	1	0
ENSG00000158315	4	13
ENSG00000232514	0	1
ENSG00000229213	0	0
ENSG00000243749	71	0
ENSG00000204084	3256	877
ENSG00000286064	35	1
ENSG00000235358	6	4
ENSG00000186973	0	0
ENSG00000233118	0	0
ENSG00000271806	2	18
ENSG00000142698	0	0
ENSG00000272084	13	8
ENSG00000146463	6162	2222
ENSG00000279214	3	0
ENSG00000183520	1681	738
ENSG00000271164	1	0
ENSG00000090686	8180	2457
ENSG00000085998	1634	1784
ENSG00000271741	2	2
ENSG00000226957	1	9
ENSG00000211454	142	124
ENSG00000214141	6	5
ENSG00000142686	941	1223
ENSG00000224751	3	36
ENSG00000286597	1	0
ENSG00000279096	1	0
ENSG00000227857	11	8
ENSG00000213987	1	0
ENSG00000117148	1	0
ENSG00000230585	16	4
ENSG00000127125	2322	1718
ENSG00000197429	41	153
ENSG00000117000	5373	1481
ENSG00000284989	0	0
ENSG00000178585	2522	588
ENSG00000231630	0	0
ENSG00000092853	2052	296
ENSG00000255811	0	0
ENSG00000236253	1	0
ENSG00000198754	17	20
ENSG00000134697	4366	2251
ENSG00000187513	1	19
ENSG00000278139	0	0
ENSG00000238145	11	153
ENSG00000225142	0	1
ENSG00000230138	23	2
ENSG00000230116	2	1
ENSG00000223390	6	4
ENSG00000285823	8	0
ENSG00000284720	0	0
ENSG00000225028	0	0
ENSG00000286640	4	0
ENSG00000225671	7	7
ENSG00000116151	774	292
ENSG00000226147	3	0
ENSG00000182873	38	38
ENSG00000286518	1	5
ENSG00000178715	580	219
ENSG00000284641	0	0
ENSG00000006555	8	81
ENSG00000236111	78	87
ENSG00000066056	640	739
ENSG00000214114	459	645
ENSG00000173436	635	671
ENSG00000116544	32	41
ENSG00000231900	0	0
ENSG00000236723	5	3
ENSG00000204060	13	2
ENSG00000232467	0	4
ENSG00000186094	59	1
ENSG00000117016	381	18
ENSG00000270241	0	0
ENSG00000121310	1041	320
ENSG00000169213	4	5
ENSG00000229846	0	0
ENSG00000163866	2067	808
ENSG00000225779	4	0
ENSG00000236546	1	1
ENSG00000233114	1	0
ENSG00000228436	52	23
ENSG00000284601	0	0
ENSG00000049249	32	10
ENSG00000284719	225	22
ENSG00000237130	0	9
ENSG00000171793	3040	1075
ENSG00000116990	126	0
ENSG00000143001	0	0
ENSG00000229716	1	4
ENSG00000236876	1064	3272
ENSG00000226133	0	0
ENSG00000227416	1	13
ENSG00000232335	19	1
ENSG00000260971	0	0
ENSG00000274386	128	12
ENSG00000259832	0	0
ENSG00000284696	0	0
ENSG00000238242	0	0
ENSG00000285839	0	0
ENSG00000237290	1	0
ENSG00000232762	1	12
ENSG00000117419	1309	1596
ENSG00000162384	2103	1331
ENSG00000162391	10	3
ENSG00000174348	3	4
ENSG00000154198	0	0
ENSG00000117859	3112	2733
ENSG00000228121	5	99
ENSG00000253313	2	2
ENSG00000040487	4280	203
ENSG00000162396	42	47
ENSG00000203995	0	5
ENSG00000227742	16	3
ENSG00000117713	22045	2058
ENSG00000230114	0	0
ENSG00000177868	1123	318
ENSG00000284686	0	0
ENSG00000162378	2483	343
ENSG00000233079	0	0
ENSG00000162599	151	2063
ENSG00000259818	1	14
ENSG00000229444	4	0
ENSG00000240563	1	4
ENSG00000234318	0	2
ENSG00000284773	187	91
ENSG00000234481	1	0
ENSG00000117862	501	345
ENSG00000162551	4	386
ENSG00000235612	0	0
ENSG00000228369	15	14
ENSG00000183431	5400	2754
ENSG00000227485	0	0
ENSG00000224609	4	13
ENSG00000235545	10	18
ENSG00000236646	0	8
ENSG00000169174	1	6
ENSG00000288527	0	0
ENSG00000231252	1	0
ENSG00000232198	0	0
ENSG00000236180	2	4
ENSG00000231622	0	5
ENSG00000238063	0	0
ENSG00000235804	1	1
ENSG00000227104	0	0
ENSG00000243725	210	38
ENSG00000116985	209	9
ENSG00000134716	39	55
ENSG00000171872	10	2
ENSG00000162407	3	8
ENSG00000285079	5	2
ENSG00000169218	3	0
ENSG00000163877	1353	468
ENSG00000228929	671	2206
ENSG00000224570	0	0
ENSG00000224980	0	0
ENSG00000185031	3	108
ENSG00000278967	2	0
ENSG00000157184	300	443
ENSG00000272491	8	2
ENSG00000198815	7497	1191
ENSG00000134744	7400	2345
ENSG00000226883	3	0
ENSG00000162437	420	868
ENSG00000233910	0	0
ENSG00000287703	0	0
ENSG00000283039	0	0
ENSG00000229032	0	0
ENSG00000229294	0	0
ENSG00000184292	0	1
ENSG00000187140	1	0
ENSG00000226754	11	1
ENSG00000228431	0	0
ENSG00000279324	0	0
ENSG00000232993	0	0
ENSG00000234088	0	1
ENSG00000186409	357	234
ENSG00000236973	11	2
ENSG00000162595	16	7
ENSG00000227947	0	0
ENSG00000277397	0	0
ENSG00000271200	0	17
ENSG00000235446	0	0
ENSG00000261196	0	0
ENSG00000224209	0	3
ENSG00000171357	15	26
ENSG00000237853	0	1
ENSG00000162385	2388	793
ENSG00000231413	0	0
ENSG00000234264	1	0
ENSG00000242391	0	0
ENSG00000086015	3487	537
ENSG00000223883	0	0
ENSG00000284808	7	0
ENSG00000184588	10046	3165
ENSG00000242267	1	3
ENSG00000237227	1	0
ENSG00000117472	1	2
ENSG00000275350	0	0
ENSG00000116652	68	30
ENSG00000203605	0	2
ENSG00000123080	2197	350
ENSG00000177452	38	4
ENSG00000285778	0	2
ENSG00000077549	13871	4193
ENSG00000233407	0	0
ENSG00000225675	47	2
ENSG00000237622	0	0
ENSG00000162598	0	0
ENSG00000280317	0	0
ENSG00000162415	13	126
ENSG00000229133	77	146
ENSG00000185483	2	6
ENSG00000162600	960	334
ENSG00000116704	1151	655
ENSG00000225623	0	0
ENSG00000261213	0	0
ENSG00000227644	0	0
ENSG00000157193	1901	716
ENSG00000116205	1970	540
ENSG00000198841	485	287
ENSG00000116212	770	167
ENSG00000234204	0	0
ENSG00000116729	9	2
ENSG00000224127	0	0
ENSG00000233099	10	1
ENSG00000233994	101	291
ENSG00000237180	0	0
ENSG00000223956	0	0
ENSG00000213561	0	5
ENSG00000234496	0	74
ENSG00000233973	1	0
ENSG00000237552	0	0
ENSG00000132854	1	1
ENSG00000227556	0	0
ENSG00000162616	2366	717
ENSG00000271355	0	0
ENSG00000162607	6318	1702
ENSG00000233602	6	2
ENSG00000233271	0	0
ENSG00000285954	24	0
ENSG00000233333	0	0
ENSG00000154027	13	1
ENSG00000234108	1	2
ENSG00000232676	1	47
ENSG00000225167	0	0
ENSG00000132122	496	716
ENSG00000213579	23	52
ENSG00000137960	2	145
ENSG00000227288	223	107
ENSG00000237852	5	6
ENSG00000116745	0	0
ENSG00000132855	6	5
ENSG00000285407	0	3
ENSG00000272506	0	5
ENSG00000172380	9	0
ENSG00000286429	3	10
ENSG00000272855	0	0
ENSG00000270549	20	2
ENSG00000237163	2	0
ENSG00000234184	1	8
ENSG00000229636	0	0
ENSG00000116675	201	763
ENSG00000224149	0	0
ENSG00000162433	15	952
ENSG00000213625	7537	4965
ENSG00000085999	533	193
ENSG00000227207	5	664
ENSG00000227016	0	0
ENSG00000236200	106	15
ENSG00000233664	3	79
ENSG00000237928	0	1
ENSG00000158966	512	214
ENSG00000284882	74	31
ENSG00000213703	10	0
ENSG00000203965	330	338
ENSG00000223479	0	0
ENSG00000234953	0	0
ENSG00000233674	0	0
ENSG00000153898	591	84
ENSG00000233290	1	0
ENSG00000117069	0	0
ENSG00000229943	0	0
ENSG00000187048	0	0
ENSG00000286918	54	3
ENSG00000228734	0	1
ENSG00000125703	1182	649
ENSG00000228056	34	32
ENSG00000285041	0	0
ENSG00000185839	593	657
ENSG00000285808	0	0
ENSG00000236676	0	0
ENSG00000275678	1	0
ENSG00000229440	0	0
ENSG00000234144	0	4
ENSG00000226891	2	9
ENSG00000213540	2	6
ENSG00000277670	0	0
ENSG00000227466	0	0
ENSG00000154007	0	0
ENSG00000225242	0	0
ENSG00000230498	1	0
ENSG00000229554	0	0
ENSG00000285851	23	165
ENSG00000285782	0	0
ENSG00000162618	1	0
ENSG00000224493	0	0
ENSG00000131233	0	0
ENSG00000272371	1	12
ENSG00000287647	0	0
ENSG00000229225	0	0
ENSG00000230863	2	84
ENSG00000234383	1	100
ENSG00000271576	1	307
ENSG00000213560	0	11
ENSG00000153936	1494	304
ENSG00000267734	1	3
ENSG00000287224	2	0
ENSG00000225598	0	0
ENSG00000227883	0	0
ENSG00000174021	3101	451
ENSG00000084072	2076	1489
ENSG00000286455	0	0
ENSG00000225087	25	5
ENSG00000224986	4	7
ENSG00000285374	0	0
ENSG00000180488	1713	416
ENSG00000280378	136	39
ENSG00000286863	45	37
ENSG00000016490	0	0
ENSG00000233595	2	10
ENSG00000188786	1506	629
ENSG00000117151	1270	385
ENSG00000162434	8587	6982
ENSG00000230053	0	1
ENSG00000137941	18	146
ENSG00000273338	968	2917
ENSG00000116717	1418	1798
ENSG00000223720	1	0
ENSG00000224326	0	0
ENSG00000235002	11	0
ENSG00000286548	10	107
ENSG00000137968	0	57
ENSG00000066135	1185	193
ENSG00000230027	0	2
ENSG00000233061	0	6
ENSG00000272094	3	0
ENSG00000228853	0	0
ENSG00000215874	2	0
ENSG00000232453	32	0
ENSG00000260386	71	6
ENSG00000284895	0	0
ENSG00000117174	1823	589
ENSG00000237413	0	0
ENSG00000184313	25	27
ENSG00000224494	6	11
ENSG00000284645	0	0
ENSG00000225605	0	0
ENSG00000226476	7	0
ENSG00000234807	8	30
ENSG00000225446	1	0
ENSG00000288543	0	0
ENSG00000234683	0	1
ENSG00000122420	0	0
ENSG00000284240	4	3
ENSG00000267561	1	0
ENSG00000236290	1	17
ENSG00000143013	7653	473
ENSG00000226084	8985	2725
ENSG00000134748	3598	2836
ENSG00000097096	20	300
ENSG00000142892	1857	1021
ENSG00000242598	0	0
ENSG00000219102	74	39
ENSG00000184005	50	9
ENSG00000230953	17	65
ENSG00000287743	1	0
ENSG00000229332	0	0
ENSG00000227937	0	1
ENSG00000229752	12	279
ENSG00000237505	10	6
ENSG00000285462	0	0
ENSG00000233216	0	0
ENSG00000197273	0	0
ENSG00000226804	0	0
ENSG00000285325	3	0
ENSG00000058804	1237	567
ENSG00000230728	2	5
ENSG00000162402	5047	1738
ENSG00000232846	0	0
ENSG00000219201	341	112
ENSG00000287661	0	0
ENSG00000230787	0	1
ENSG00000116641	662	939
ENSG00000235927	31	9
ENSG00000223920	3	0
ENSG00000237453	0	0
ENSG00000281207	109	29
ENSG00000172260	366	455
ENSG00000285473	0	0
ENSG00000237959	0	0
ENSG00000231364	0	0
ENSG00000234578	0	0
ENSG00000185104	2611	1794
ENSG00000117480	5364	797
ENSG00000227960	8	13
ENSG00000137944	1340	564
ENSG00000237568	0	0
ENSG00000229505	1	0
ENSG00000228187	2	7
ENSG00000285201	0	0
ENSG00000182183	226	3
ENSG00000236407	1	2
ENSG00000232284	1	0
ENSG00000236915	1	60
ENSG00000271949	0	0
ENSG00000227062	0	0
ENSG00000067334	2682	5531
ENSG00000235011	0	0
ENSG00000284734	4	20
ENSG00000215875	1	0
ENSG00000235673	0	0
ENSG00000225938	1	1
ENSG00000180869	3	0
ENSG00000226938	0	0
ENSG00000213559	2	88
ENSG00000287587	0	0
ENSG00000122417	1414	1075
ENSG00000142949	64	21
ENSG00000116133	430	1092
ENSG00000235105	59	492
ENSG00000285210	15	4
ENSG00000232882	19	105
ENSG00000224466	0	1
ENSG00000171502	4417	1313
ENSG00000162399	1	5
ENSG00000231349	0	0
ENSG00000116157	1250	593
ENSG00000143036	288	3
ENSG00000232672	21	64
ENSG00000230817	2	2
ENSG00000235613	17	89
ENSG00000237478	0	0
ENSG00000065243	3285	1976
ENSG00000226759	2	0
ENSG00000226960	0	0
ENSG00000233877	0	46
ENSG00000284637	0	0
ENSG00000234080	94	2232
ENSG00000237899	11	2
ENSG00000238081	0	10
ENSG00000234784	0	2
ENSG00000225492	3	457
ENSG00000223905	0	0
ENSG00000227290	2	0
ENSG00000229486	0	0
ENSG00000223683	0	0
ENSG00000282898	0	0
ENSG00000117500	4937	1176
ENSG00000285409	0	0
ENSG00000016602	2	1
ENSG00000171790	56	16
ENSG00000231090	5	0
ENSG00000117528	795	610
ENSG00000271723	2	0
ENSG00000066185	87	98
ENSG00000172339	103	79
ENSG00000036549	3116	1684
ENSG00000287724	0	0
ENSG00000229567	60	499
ENSG00000058799	1023	630
ENSG00000233235	0	1
ENSG00000225191	2	11
ENSG00000287870	0	0
ENSG00000235563	0	0
ENSG00000232048	2	3
ENSG00000232857	0	1
ENSG00000284846	0	0
ENSG00000273637	0	0
ENSG00000272145	146	125
ENSG00000235251	3	53
ENSG00000203985	6	0
ENSG00000228838	3	1
ENSG00000283761	70	16
ENSG00000284716	3	0
ENSG00000189433	0	2
ENSG00000230759	0	0
ENSG00000231866	0	0
ENSG00000179178	1	59
ENSG00000229687	0	3
ENSG00000142700	2	1
ENSG00000285525	0	0
ENSG00000236098	0	0
ENSG00000233514	1	291
ENSG00000127124	1530	327
ENSG00000235055	0	0
ENSG00000266993	245	5
ENSG00000153923	0	2
ENSG00000097033	7186	2297
ENSG00000223675	0	0
ENSG00000182330	0	0
ENSG00000162604	1338	1016
ENSG00000229316	0	25
ENSG00000116171	5535	2324
ENSG00000287406	0	0
ENSG00000134709	61	196
ENSG00000225767	3	6
ENSG00000234099	0	3
ENSG00000137936	2815	49
ENSG00000235308	1	0
ENSG00000232752	0	1
ENSG00000235829	1	3
ENSG00000143032	1	0
ENSG00000228971	1	0
ENSG00000226745	2	5
ENSG00000178028	3089	1892
ENSG00000280040	0	0
ENSG00000168710	6925	2872
ENSG00000117519	7	1657
ENSG00000270507	0	0
ENSG00000238037	0	0
ENSG00000215869	1	24
ENSG00000134215	7630	4014
ENSG00000227935	0	0
ENSG00000229887	82	203
ENSG00000228502	22984	16666
ENSG00000236268	0	0
ENSG00000225568	6	39
ENSG00000271277	0	0
ENSG00000236888	6	38
ENSG00000279778	22	3
ENSG00000232015	4	2
ENSG00000230955	0	0
ENSG00000230828	0	0
ENSG00000188641	1125	1818
ENSG00000152078	93	7
ENSG00000237279	0	1
ENSG00000233359	4	0
ENSG00000237352	26	11
ENSG00000215887	0	34
ENSG00000237954	0	0
ENSG00000185668	4	0
ENSG00000171492	1503	1131
ENSG00000233129	0	0
ENSG00000230798	0	0
ENSG00000170989	61	427
ENSG00000186086	0	9
ENSG00000055732	0	4
